19138.9 -979.068 83220.4
-4917.73 38687 38112.6
-8017.1 -32178.8 -17138.8
-4834.63 -18006.9 72745.7
13391.6 10465.7 -21507.3
-12.9973 -46134.5 -354691
1605.22 39954.6 -168272
47446.1 8413.2 -113266
-32742.9 -7492.97 -203405
36660.9 25723.2 -107358
-42575.8 -8163.11 -42341.5
7227.51 50219.5 -117522
21739.4 -33596.5 -162957
7650.82 43554.4 288505
-8713.79 -42110.5 121493
44725.3 7691.91 13995
-40804.9 -1014.92 -15476.3
8143.69 45472.9 -277495
16798.9 -10038.1 -23012.9
21057.5 38326.1 -55686.7
-15094.2 -41038.2 -46032.5
46670.5 -2096.25 133788
-35487 -5623.23 47440.3
-1074 6529.19 -41159.3
-66186.6 -647.042 66848.1
11388.1 -12257.5 102518
-34503.4 41331.9 -60941.2
25052.3 -6134.06 -118722
36321.1 -10091.9 -111638
-31208.8 12432.9 -12984.4
28194.4 13508.8 -121803
6015.86 45540.6 255776
2515.45 -33405.7 164099
18804.2 -34855.8 133202
-10400.9 20368.4 7296.08
1454.19 -48062.1 -27285.8
-12402.2 36834.6 -60458.8
-22822 -19778.4 89122.1
48220.9 -11602.2 -32766.4
-29921.8 -13073.5 43619
9599.17 -7670.48 -4272.25
-7303.01 -49796.2 -54768.4
-984.709 29551.9 8701.09
45810.7 38838.4 -49025.4
-104331 -87172.2 31297.4
19045.7 -7658.12 -879.806
-10027.6 -1159.21 11354.5
-38570 -27428.5 -189453
39091.1 16360.8 -71717.1
-24463.1 2855.22 7224.9

