#x	y	z	B_x	B_y	B_z
-1	-0.6	0.1	1.13e-07	1.25e-07	-3.89e-08
-1	-0.6	0.2	1.03e-07	1.21e-07	-5.69e-08
-1	-0.6	0.3	8.8e-08	1.14e-07	-7.16e-08
-1	-0.6	0.4	7.11e-08	1.05e-07	-8.18e-08
-1	-0.6	0.5	5.37e-08	9.29e-08	-8.73e-08
-1	-0.6	0.6	3.72e-08	8.06e-08	-8.85e-08
-1	-0.6	0.7	2.27e-08	6.84e-08	-8.61e-08
-1	-0.6	0.8	1.06e-08	5.71e-08	-8.12e-08
-1	-0.6	0.9	1.04e-09	4.72e-08	-7.48e-08
-1	-0.6	1	-6.16e-09	3.86e-08	-6.78e-08
-1	-0.5	-1	3.55e-08	2.57e-08	4.23e-08
-1	-0.5	-0.9	4.42e-08	3.25e-08	4.84e-08
-1	-0.5	-0.8	5.53e-08	4.1e-08	5.41e-08
-1	-0.5	-0.7	6.89e-08	5.11e-08	5.84e-08
-1	-0.5	-0.6	8.48e-08	6.27e-08	6e-08
-1	-0.5	-0.5	1.02e-07	7.53e-08	5.77e-08
-1	-0.5	-0.4	1.2e-07	8.82e-08	5.04e-08
-1	-0.5	-0.3	1.36e-07	1e-07	3.77e-08
-1	-0.5	-0.2	1.48e-07	1.11e-07	1.99e-08
-1	-0.5	-0.1	1.54e-07	1.19e-07	-1.73e-09
-1	-0.5	0	1.54e-07	1.23e-07	-2.53e-08
-1	-0.5	0.1	1.47e-07	1.24e-07	-4.87e-08
-1	-0.5	0.2	1.33e-07	1.21e-07	-6.98e-08
-1	-0.5	0.3	1.15e-07	1.14e-07	-8.67e-08
-1	-0.5	0.4	9.36e-08	1.04e-07	-9.82e-08
-1	-0.5	0.5	7.14e-08	9.25e-08	-1.04e-07
-1	-0.5	0.6	5.04e-08	8e-08	-1.04e-07
-1	-0.5	0.7	3.19e-08	6.75e-08	-1.01e-07
-1	-0.5	0.8	1.67e-08	5.6e-08	-9.39e-08
-1	-0.5	0.9	4.81e-09	4.59e-08	-8.56e-08
-1	-0.5	1	-4.05e-09	3.73e-08	-7.67e-08
-1	-0.4	-1	4.18e-08	2.18e-08	4.59e-08
-1	-0.4	-0.9	5.25e-08	2.79e-08	5.3e-08
-1	-0.4	-0.8	6.62e-08	3.56e-08	5.96e-08
-1	-0.4	-0.7	8.32e-08	4.48e-08	6.45e-08
-1	-0.4	-0.6	1.03e-07	5.56e-08	6.63e-08
-1	-0.4	-0.5	1.25e-07	6.74e-08	6.34e-08
-1	-0.4	-0.4	1.47e-07	7.95e-08	5.45e-08
-1	-0.4	-0.3	1.67e-07	9.09e-08	3.93e-08
-1	-0.4	-0.2	1.81e-07	1.01e-07	1.84e-08
-1	-0.4	-0.1	1.89e-07	1.08e-07	-6.69e-09
-1	-0.4	0	1.89e-07	1.13e-07	-3.38e-08
-1	-0.4	0.1	1.81e-07	1.14e-07	-6.04e-08
-1	-0.4	0.2	1.64e-07	1.12e-07	-8.41e-08
-1	-0.4	0.3	1.42e-07	1.06e-07	-1.03e-07
-1	-0.4	0.4	1.16e-07	9.74e-08	-1.16e-07
-1	-0.4	0.5	8.94e-08	8.67e-08	-1.21e-07
-1	-0.4	0.6	6.37e-08	7.49e-08	-1.21e-07
-1	-0.4	0.7	4.12e-08	6.31e-08	-1.16e-07
-1	-0.4	0.8	2.28e-08	5.21e-08	-1.07e-07
-1	-0.4	0.9	8.49e-09	4.24e-08	-9.64e-08
-1	-0.4	1	-2.06e-09	3.43e-08	-8.56e-08
-1	-0.3	-1	4.79e-08	1.64e-08	4.85e-08
-1	-0.3	-0.9	6.06e-08	2.13e-08	5.62e-08
-1	-0.3	-0.8	7.69e-08	2.76e-08	6.33e-08
-1	-0.3	-0.7	9.72e-08	3.52e-08	6.86e-08
-1	-0.3	-0.6	1.21e-07	4.41e-08	7.01e-08
-1	-0.3	-0.5	1.47e-07	5.4e-08	6.62e-08
-1	-0.3	-0.4	1.73e-07	6.42e-08	5.54e-08
-1	-0.3	-0.3	1.95e-07	7.4e-08	3.76e-08
-1	-0.3	-0.2	2.12e-07	8.25e-08	1.36e-08
-1	-0.3	-0.1	2.21e-07	8.91e-08	-1.46e-08
-1	-0.3	0	2.21e-07	9.35e-08	-4.46e-08
-1	-0.3	0.1	2.11e-07	9.52e-08	-7.37e-08
-1	-0.3	0.2	1.92e-07	9.41e-08	-9.95e-08
-1	-0.3	0.3	1.67e-07	9.01e-08	-1.2e-07
-1	-0.3	0.4	1.37e-07	8.34e-08	-1.33e-07
-1	-0.3	0.5	1.06e-07	7.47e-08	-1.39e-07
-1	-0.3	0.6	7.58e-08	6.48e-08	-1.37e-07
-1	-0.3	0.7	4.96e-08	5.47e-08	-1.3e-07
-1	-0.3	0.8	2.81e-08	4.52e-08	-1.19e-07
-1	-0.3	0.9	1.16e-08	3.67e-08	-1.07e-07
