#x	y	z	B_x	B_y	B_z
-1	-0.6	0.1	5.3e-08	5.05e-08	-1.68e-08
-1	-0.6	0.2	4.86e-08	4.96e-08	-2.41e-08
-1	-0.6	0.3	4.28e-08	4.75e-08	-3.02e-08
-1	-0.6	0.4	3.59e-08	4.45e-08	-3.49e-08
-1	-0.6	0.5	2.86e-08	4.06e-08	-3.78e-08
-1	-0.6	0.6	2.14e-08	3.63e-08	-3.91e-08
-1	-0.6	0.7	1.47e-08	3.19e-08	-3.89e-08
-1	-0.6	0.8	8.82e-09	2.75e-08	-3.76e-08
-1	-0.6	0.9	3.87e-09	2.34e-08	-3.54e-08
-1	-0.6	1	-1.01e-10	1.97e-08	-3.27e-08
-1	-0.5	-1	2.06e-08	1.11e-08	2.09e-08
-1	-0.5	-0.9	2.51e-08	1.39e-08	2.31e-08
-1	-0.5	-0.8	3.05e-08	1.74e-08	2.48e-08
-1	-0.5	-0.7	3.68e-08	2.13e-08	2.56e-08
-1	-0.5	-0.6	4.35e-08	2.57e-08	2.52e-08
-1	-0.5	-0.5	5.05e-08	3.03e-08	2.31e-08
-1	-0.5	-0.4	5.71e-08	3.5e-08	1.93e-08
-1	-0.5	-0.3	6.27e-08	3.94e-08	1.36e-08
-1	-0.5	-0.2	6.67e-08	4.32e-08	6.19e-09
-1	-0.5	-0.1	6.86e-08	4.62e-08	-2.39e-09
-1	-0.5	0	6.81e-08	4.81e-08	-1.16e-08
-1	-0.5	0.1	6.51e-08	4.87e-08	-2.07e-08
-1	-0.5	0.2	5.99e-08	4.8e-08	-2.9e-08
-1	-0.5	0.3	5.28e-08	4.62e-08	-3.59e-08
-1	-0.5	0.4	4.45e-08	4.32e-08	-4.1e-08
-1	-0.5	0.5	3.57e-08	3.95e-08	-4.41e-08
-1	-0.5	0.6	2.7e-08	3.53e-08	-4.52e-08
-1	-0.5	0.7	1.89e-08	3.09e-08	-4.47e-08
-1	-0.5	0.8	1.19e-08	2.66e-08	-4.28e-08
-1	-0.5	0.9	5.94e-09	2.26e-08	-4e-08
-1	-0.5	1	1.21e-09	1.9e-08	-3.66e-08
-1	-0.4	-1	2.37e-08	8.84e-09	2.23e-08
-1	-0.4	-0.9	2.92e-08	1.13e-08	2.47e-08
-1	-0.4	-0.8	3.56e-08	1.44e-08	2.65e-08
-1	-0.4	-0.7	4.3e-08	1.79e-08	2.74e-08
-1	-0.4	-0.6	5.11e-08	2.19e-08	2.68e-08
-1	-0.4	-0.5	5.94e-08	2.61e-08	2.44e-08
-1	-0.4	-0.4	6.72e-08	3.05e-08	1.99e-08
-1	-0.4	-0.3	7.39e-08	3.47e-08	1.33e-08
-1	-0.4	-0.2	7.86e-08	3.83e-08	4.95e-09
-1	-0.4	-0.1	8.09e-08	4.13e-08	-4.75e-09
-1	-0.4	0	8.04e-08	4.33e-08	-1.51e-08
-1	-0.4	0.1	7.69e-08	4.41e-08	-2.52e-08
-1	-0.4	0.2	7.08e-08	4.37e-08	-3.44e-08
-1	-0.4	0.3	6.26e-08	4.22e-08	-4.19e-08
-1	-0.4	0.4	5.29e-08	3.97e-08	-4.74e-08
-1	-0.4	0.5	4.26e-08	3.64e-08	-5.06e-08
-1	-0.4	0.6	3.24e-08	3.26e-08	-5.15e-08
-1	-0.4	0.7	2.3e-08	2.86e-08	-5.05e-08
-1	-0.4	0.8	1.47e-08	2.46e-08	-4.81e-08
-1	-0.4	0.9	7.87e-09	2.09e-08	-4.46e-08
-1	-0.4	1	2.41e-09	1.75e-08	-4.06e-08
-1	-0.3	-1	2.68e-08	5.96e-09	2.31e-08
-1	-0.3	-0.9	3.3e-08	7.9e-09	2.56e-08
-1	-0.3	-0.8	4.04e-08	1.03e-08	2.75e-08
-1	-0.3	-0.7	4.89e-08	1.31e-08	2.83e-08
-1	-0.3	-0.6	5.82e-08	1.64e-08	2.74e-08
-1	-0.3	-0.5	6.76e-08	2e-08	2.46e-08
-1	-0.3	-0.4	7.66e-08	2.38e-08	1.94e-08
-1	-0.3	-0.3	8.41e-08	2.74e-08	1.2e-08
-1	-0.3	-0.2	8.95e-08	3.08e-08	2.65e-09
-1	-0.3	-0.1	9.2e-08	3.36e-08	-8.07e-09
-1	-0.3	0	9.13e-08	3.56e-08	-1.93e-08
-1	-0.3	0.1	8.74e-08	3.66e-08	-3.03e-08
-1	-0.3	0.2	8.04e-08	3.67e-08	-4.02e-08
-1	-0.3	0.3	7.11e-08	3.58e-08	-4.82e-08
-1	-0.3	0.4	6.02e-08	3.39e-08	-5.38e-08
-1	-0.3	0.5	4.86e-08	3.13e-08	-5.7e-08
-1	-0.3	0.6	3.71e-08	2.82e-08	-5.76e-08
-1	-0.3	0.7	2.64e-08	2.48e-08	-5.61e-08
-1	-0.3	0.8	1.71e-08	2.14e-08	-5.3e-08
-1	-0.3	0.9	9.44e-09	1.82e-08	-4.89e-08
-1	-0.3	1	3.34e-09	1.53e-08	-4.42e-08
-1	-0.2	-1	2.94e-08	2.55e-09	2.33e-08
-1	-0.2	-0.9	3.63e-08	3.75e-09	2.57e-08
-1	-0.2	-0.8	4.45e-08	5.31e-09	2.75e-08
-1	-0.2	-0.7	5.39e-08	7.26e-09	2.8e-08
-1	-0.2	-0.6	6.41e-08	9.59e-09	2.68e-08
-1	-0.2	-0.5	7.45e-08	1.22e-08	2.34e-08
-1	-0.2	-0.4	8.42e-08	1.51e-08	1.76e-08
-1	-0.2	-0.3	9.24e-08	1.81e-08	9.37e-09
-1	-0.2	-0.2	9.81e-08	2.09e-08	-8.29e-10
-1	-0.2	-0.1	1.01e-07	2.33e-08	-1.23e-08
-1	-0.2	0	9.98e-08	2.53e-08	-2.43e-08
-1	-0.2	0.1	9.54e-08	2.66e-08	-3.59e-08
-1	-0.2	0.2	8.78e-08	2.72e-08	-4.62e-08
-1	-0.2	0.3	7.76e-08	2.69e-08	-5.44e-08
-1	-0.2	0.4	6.57e-08	2.59e-08	-6e-08
-1	-0.2	0.5	5.3e-08	2.43e-08	-6.29e-08
-1	-0.2	0.6	4.05e-08	2.21e-08	-6.31e-08
-1	-0.2	0.7	2.89e-08	1.97e-08	-6.11e-08
-1	-0.2	0.8	1.88e-08	1.71e-08	-5.74e-08
-1	-0.2	0.9	1.05e-08	1.47e-08	-5.27e-08
-1	-0.2	1	3.89e-09	1.24e-08	-4.74e-08
-1	-0.1	-1	3.16e-08	-1.22e-09	2.26e-08
-1	-0.1	-0.9	3.89e-08	-8.81e-10	2.49e-08
-1	-0.1	-0.8	4.77e-08	-3.09e-10	2.64e-08
-1	-0.1	-0.7	5.77e-08	5.48e-10	2.65e-08
-1	-0.1	-0.6	6.85e-08	1.73e-09	2.48e-08
-1	-0.1	-0.5	7.94e-08	3.24e-09	2.08e-08
-1	-0.1	-0.4	8.96e-08	5.05e-09	1.43e-08
-1	-0.1	-0.3	9.8e-08	7.08e-09	5.42e-09
-1	-0.1	-0.2	1.04e-07	9.2e-09	-5.43e-09
-1	-0.1	-0.1	1.06e-07	1.13e-08	-1.75e-08
-1	-0.1	0	1.05e-07	1.32e-08	-2.99e-08
-1	-0.1	0.1	1e-07	1.47e-08	-4.17e-08
-1	-0.1	0.2	9.21e-08	1.58e-08	-5.2e-08
-1	-0.1	0.3	8.13e-08	1.63e-08	-6.01e-08
-1	-0.1	0.4	6.87e-08	1.63e-08	-6.55e-08
-1	-0.1	0.5	5.53e-08	1.57e-08	-6.81e-08
-1	-0.1	0.6	4.22e-08	1.47e-08	-6.78e-08
-1	-0.1	0.7	3e-08	1.34e-08	-6.53e-08
-1	-0.1	0.8	1.95e-08	1.19e-08	-6.1e-08
-1	-0.1	0.9	1.08e-08	1.04e-08	-5.57e-08
-1	-0.1	1	3.93e-09	8.94e-09	-4.99e-08
-1	0	-1	3.31e-08	-5.13e-09	2.12e-08
-1	0	-0.9	4.07e-08	-5.71e-09	2.31e-08
-1	0	-0.8	4.97e-08	-6.2e-09	2.42e-08
-1	0	-0.7	5.99e-08	-6.52e-09	2.38e-08
