0	1616
1	943
2	1597
3	993
4	1726
5	971
6	1557
7	1045
8	1653
9	902
10	1583
11	937
12	1724
13	902
14	1642
15	838
16	1671
17	979
18	1735
19	900
20	1575
21	977
22	1734
23	826
24	1739
25	1023
26	1687
27	986
28	1701
29	923
30	1670
31	968
32	1579
33	986
34	1793
35	1175
36	1751
37	1000
38	1721
39	978
40	1652
41	1036
42	1736
43	1105
44	1786
45	1212
46	2223
47	2042
48	3632
49	3700
50	4792
51	4397
52	5112
53	4547
54	5123
55	4035
56	4157
57	2767
58	2969
59	1879
60	2410
61	1663
62	2006
63	1394
64	1959
65	1170
66	1843
67	1074
68	1738
69	1086
70	1657
71	1031
72	1953
73	1006
74	1750
75	1003
76	1600
77	1010
78	1763
79	926
80	1722
81	935
82	1693
83	954
84	1697
85	885
86	1659
87	972
88	1802
89	1050
90	1661
91	976
92	1658
93	940
94	1704
95	962
96	1577
97	970
98	1634
99	974
100	1624
101	871
102	1623
103	950
104	1609
105	864
106	1727
107	902
108	1691
109	903
110	1579
111	922
112	1647
113	866
114	1548
115	871
116	1680
117	1057
118	1693
119	938
