0	1529
1	943
2	1424
3	1061
4	1523
5	960
6	1542
7	982
8	1585
9	955
10	1397
11	986
12	1475
13	1052
14	1490
15	1007
16	1512
17	1070
18	1579
19	1106
20	1669
21	1167
22	1611
23	1065
24	1506
25	1118
26	1816
27	1078
28	1663
29	1006
30	1650
31	1126
32	1645
33	1251
34	1725
35	1290
36	1900
37	1243
38	1881
39	1333
40	1854
41	1302
42	2028
43	1367
44	1903
45	1440
46	1980
47	1501
48	1985
49	1481
50	2059
51	1586
52	2082
53	1657
54	2175
55	1733
56	1997
57	1590
58	2066
59	1727
60	2151
61	1657
62	2026
63	1597
64	2134
65	1587
66	2126
67	1599
68	2151
69	1595
70	2006
71	1455
72	2026
73	1512
74	1956
75	1479
76	1923
77	1341
78	1958
79	1296
80	1821
81	1325
82	1793
83	1224
84	1723
85	1138
86	1830
87	1251
88	1630
89	1112
90	1747
91	1202
92	1552
93	1078
94	1726
95	1127
96	1551
97	1087
98	1429
99	1082
100	1538
101	1125
102	1511
103	1070
104	1400
105	1001
106	1455
107	958
108	1480
109	1012
110	1455
111	905
112	1565
113	1060
114	1462
115	910
116	1555
117	1022
118	1592
119	941
